label,input
error,hostapd: wlan0: STA 9c:b6:d0:13:7e:64 EAP-TLS: client certificate validation failed serial=105171
error,hostapd: wlan0: STA 88:66:5a:d1:72:0c IEEE 802.11: association denied status_code=17 AP full attempt=5710
normal,dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.20.2.182 6c:5a:b0:2e:91:c8 xid=1112
normal,hostapd: wlan0: STA 70:3a:cb:51:2d:88 FT authentication completed r0kh_id=ap-7 event_id=train-3147
error,hostapd: wlan0: STA 64:5a:04:a9:33:e1 WPA: received EAPOL-Key with invalid MIC replay_counter=3615
normal,hostapd: wlan0: STA a8:6d:aa:42:bc:09 RSN: PMKSA cache lookup succeeded cache_id=2698
normal,hostapd: wlan0: STA 88:66:5a:d1:72:0c changed power save mode: off ps_seq=1246
normal,hostapd: wlan0: STA 64:5a:04:a9:33:e1 FT authentication completed r0kh_id=ap-3 event_id=train-3231
error,hostapd: wlan0: STA 28:cf:e9:5b:73:a4 IEEE 802.11: deauthenticated due to previous authentication no longer valid reason=2 seq=4333
error,hostapd: wlan0: STA dc:a6:32:48:91:0f WPA: EAPOL-Key timeout after message 3/4 retry=0 event_id=train-3840
normal,kernel: wlan0: station 28:cf:e9:5b:73:a4 power save mode enabled ps_seq=1183
normal,hostapd: wlan0: STA a8:6d:aa:42:bc:09 RSN: PMKSA cache entry refreshed cache_id=2572
normal,wpa_supplicant: wlan0: CTRL-EVENT-SIGNAL-CHANGE station=f4:f5:d8:7a:19:2b above=1 signal=-62 noise=-95 txrate=144.4 Mb/s
normal,"hostapd: wlan0: STA e4:5f:01:aa:3b:77 IEEE 802.11: did not acknowledge keepalive, retry scheduled retry=1 event_id=train-2143"
error,hostapd: wlan0: STA d8:bb:c1:07:90:ac WPA: group key handshake timeout retry=3 event_id=train-4079
normal,hostapd: wlan0: STA f4:f5:d8:7a:19:2b accounting interim update sent session=3446
normal,kernel: wlan0: station e4:5f:01:aa:3b:77 power save mode enabled ps_seq=1663
error,hostapd: wlan0: STA dc:a6:32:48:91:0f WPA: EAPOL-Key timeout after message 3/4 retry=2 event_id=train-3678
normal,kernel: wlan0: station 0c:8b:fd:61:c2:14 power save mode enabled after association interval=69s event_id=train-1641
normal,hostapd: wlan0: STA f4:f5:d8:7a:19:2b RSN: using cached PMKSA for fast reconnect cache_id=2474
normal,dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.20.2.186 f4:f5:d8:7a:19:2b xid=926
normal,kernel: wlan0: station 5c:e9:1e:33:8f:a1 power save mode disabled after traffic idle interval=68s event_id=train-1760
normal,hostapd: wlan0: STA f4:f5:d8:7a:19:2b keepalive retry succeeded retry=2 event_id=train-2018
normal,kernel: wlan0: station e4:5f:01:aa:3b:77 power save mode enabled ps_seq=1411
normal,hostapd: wlan0: STA 64:5a:04:a9:33:e1 single missed ack recovered on retry retry_count=1 event_id=train-3573
normal,hostapd: wlan0: STA a8:6d:aa:42:bc:09 changed power save mode: off ps_seq=1438
normal,hostapd: wlan0: STA a8:6d:aa:42:bc:09 changed power save mode: off ps_seq=1294
error,dnsmasq-dhcp[411]: bad DHCP request from d8:bb:c1:07:90:ac: requested address outside subnet xid=4769
normal,hostapd: wlan0: STA 9c:b6:d0:13:7e:64 WPA: EAPOL-Key message 4/4 received replay_counter=689
error,kernel: wlan0: firmware crashed during key install for station 28:cf:e9:5b:73:a4 crash_id=5395
normal,hostapd: wlan0: STA e4:5f:01:aa:3b:77 IEEE 802.11: associated (aid 52)
error,kernel: wlan0: firmware crashed while processing association response station=b8:27:eb:6d:45:f2 crash_id=5406
normal,wpa_supplicant: wlan0: CTRL-EVENT-SIGNAL-CHANGE station=2c:54:cf:92:10:bd above=1 signal=-48 noise=-95 txrate=433.3 Mb/s
normal,dnsmasq-dhcp[411]: DHCPINFORM(wlan0) 10.20.4.22 a8:6d:aa:42:bc:09
normal,kernel: wlan0: station dc:a6:32:48:91:0f power save mode disabled ps_seq=1488
error,"hostapd: wlan0: STA a0:36:9f:71:b5:2e no keepalive ACK after retries, deauthenticating reason=4 retry_count=9"
normal,dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.20.3.69 0c:8b:fd:61:c2:14 client-39
error,dnsmasq-dhcp[411]: DHCPNAK(wlan0) 10.20.5.145 9c:b6:d0:13:7e:64 lease conflict detected xid=4685
normal,hostapd: wlan0: STA 0c:8b:fd:61:c2:14 single missed ack recovered on retry retry_count=1 event_id=train-3585
normal,hostapd: wlan0: STA 64:5a:04:a9:33:e1 WPA: EAPOL-Key message 2/4 received replay_counter=645
normal,hostapd: wlan0: STA 28:cf:e9:5b:73:a4 IEEE 802.11: associated (aid 38)
error,hostapd: wlan0: STA 2c:54:cf:92:10:bd PMF required but client did not negotiate management frame protection attempt=5698
normal,wpa_supplicant: wlan0: CTRL-EVENT-SCAN-RESULTS station=64:5a:04:a9:33:e1 scan_id=3201
error,dnsmasq-dhcp[411]: no address available for DHCP request from 6c:5a:b0:2e:91:c8 pool=2 event_id=train-4778
error,kernel: wlan0: tx queue stuck for station 64:5a:04:a9:33:e1; firmware recovery triggered queue=7
normal,hostapd: wlan0: STA 70:3a:cb:51:2d:88 RSN: PMKSA cache hit cache_id=2415
normal,dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) dc:a6:32:48:91:0f xid=768
normal,hostapd: wlan0: STA 0c:8b:fd:61:c2:14 RSN: PMKSA cache lookup succeeded cache_id=2583
error,hostapd: wlan0: STA 0c:8b:fd:61:c2:14 IEEE 802.11: class 3 frame from nonassociated station reason=7 seq=4149
normal,hostapd: wlan0: STA 48:5f:99:c0:21:6a IEEE 802.11: associated (aid 38)
error,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 IEEE 802.11: deauthenticated due to local deauth request reason=3 seq=4340
error,hostapd: wlan0: STA 28:cf:e9:5b:73:a4 WPA: EAPOL-Key timeout after message 1/4 retry=1 event_id=train-3949
error,hostapd: wlan0: STA b8:27:eb:6d:45:f2 denied by MAC ACL policy acl_rule=4
normal,hostapd: wlan0: STA d8:bb:c1:07:90:ac WPA: EAPOL-Key message 4/4 received replay_counter=521
normal,hostapd: wlan0: STA b8:27:eb:6d:45:f2 RSN: using cached PMKSA for fast reconnect cache_id=2724
normal,hostapd: wlan0: STA 28:cf:e9:5b:73:a4 RSN: PMKSA cache hit cache_id=2605
normal,hostapd: wlan0: STA a8:6d:aa:42:bc:09 changed power save mode: off ps_seq=1240
normal,kernel: wlan0: station 3c:22:fb:10:24:38 power save mode disabled ps_seq=1170
normal,hostapd: wlan0: STA f4:f5:d8:7a:19:2b RSN: PMKSA cache entry added cache_id=2636
error,kernel: wlan0: connection lost from 64:70:02:9a:bc:11 after beacon timeout station=6c:5a:b0:2e:91:c8 seq=5342
error,hostapd: wlan0: STA 70:3a:cb:51:2d:88 IEEE 802.11: disassociated due to inactivity reason=4 seq=4521
error,kernel: wlan0: firmware crashed during key install for station b8:27:eb:6d:45:f2 crash_id=5550
error,hostapd: wlan0: STA a0:36:9f:71:b5:2e IEEE 802.11: association rejected unsupported rates status_code=18 attempt=5591
normal,hostapd: wlan0: STA 2c:54:cf:92:10:bd RSN: PMKSA cache entry refreshed cache_id=2602
normal,hostapd: wlan0: STA d8:bb:c1:07:90:ac changed power save mode: on ps_seq=1637
error,dnsmasq-dhcp[411]: DHCPNAK(wlan0) 10.20.1.205 48:5f:99:c0:21:6a lease conflict detected xid=4555
error,hostapd: wlan0: STA 3c:22:fb:10:24:38 RADIUS: Access-Reject received session=4878
normal,kernel: wlan0: station e4:5f:01:aa:3b:77 low signal warning cleared signal=-67
normal,hostapd: wlan0: STA 64:5a:04:a9:33:e1 WPA: pairwise key handshake completed (RSN) event_id=train-225
error,hostapd: wlan0: STA d8:bb:c1:07:90:ac WPA: group key handshake timeout retry=3 event_id=train-3827
normal,"hostapd: wlan0: STA 48:5f:99:c0:21:6a IEEE 802.11: did not acknowledge keepalive, retry scheduled retry=1 event_id=train-2191"
error,wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED station=88:66:5a:d1:72:0c bssid=00:25:9c:7a:10:02 reason=34 locally_generated=0 seq=4432
normal,hostapd: wlan0: STA 9c:b6:d0:13:7e:64 changed power save mode: on ps_seq=1265
normal,kernel: wlan0: station e4:5f:01:aa:3b:77 retry count high but frame delivered retry_count=3 event_id=train-3547
normal,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 RSN: PMKSA cache entry added cache_id=2486
normal,dnsmasq-dhcp[411]: DHCPDISCOVER(wlan0) 3c:22:fb:10:24:38 xid=1062
normal,dnsmasq-dhcp[411]: DHCPOFFER(wlan0) 10.20.1.151 48:5f:99:c0:21:6a lease=12h
error,hostapd: wlan0: STA 88:66:5a:d1:72:0c disconnected due to excessive frame retries retry_count=8
normal,hostapd: wlan0: STA b8:27:eb:6d:45:f2 transient low ACK rate recovered ack_rate=54
error,hostapd: wlan0: STA 6c:5a:b0:2e:91:c8 IEEE 802.1X: EAP timeout waiting for response session=4892
normal,kernel: wlan0: station 48:5f:99:c0:21:6a power save mode enabled ps_seq=1747
error,hostapd: wlan0: STA 64:5a:04:a9:33:e1 IEEE 802.11: class 3 frame from nonassociated station reason=7 seq=4209
normal,wpa_supplicant: wlan0: CTRL-EVENT-ROAMED bssid=64:70:02:9a:bc:11 station=6c:5a:b0:2e:91:c8 roam_seq=3200
error,hostapd: wlan0: STA 2c:54:cf:92:10:bd deauthenticated after keepalive timeout reason=4 retry_count=8
normal,kernel: wlan0: station a0:36:9f:71:b5:2e data rate updated to 866.7 Mbps mcs=11 event_id=train-2975
normal,kernel: wlan0: station b8:27:eb:6d:45:f2 power save mode disabled ps_seq=1284
normal,kernel: wlan0: station e4:5f:01:aa:3b:77 power save mode enabled ps_seq=1681
error,hostapd: wlan0: STA e4:5f:01:aa:3b:77 WPA: EAPOL-Key timeout after message 1/4 retry=3 event_id=train-3979
normal,hostapd: wlan0: STA b8:27:eb:6d:45:f2 keepalive response received sequence=2130
normal,radiusd[822]: Login OK: [e4:5f:01:aa:3b:77] from client ap-3 port 4355
normal,hostapd: wlan0: STA 70:3a:cb:51:2d:88 keepalive response received after retry retry=0 event_id=train-1797
normal,wpa_supplicant: wlan0: CTRL-EVENT-SCAN-RESULTS station=28:cf:e9:5b:73:a4 scan_id=3145
normal,hostapd: wlan0: STA d8:bb:c1:07:90:ac RSN: PMKSA cache entry added cache_id=2411
error,hostapd: wlan0: STA a8:6d:aa:42:bc:09 IEEE 802.11: deauthenticated due to local deauth request reason=3 seq=4210
error,hostapd: wlan0: STA 70:3a:cb:51:2d:88 IEEE 802.11: deauthenticated due to local deauth request reason=3 seq=4395
error,hostapd: wlan0: STA a0:36:9f:71:b5:2e WPA: group key handshake timeout retry=3 event_id=train-4019
normal,dnsmasq-dhcp[411]: DHCPINFORM(wlan0) 10.20.4.68 a8:6d:aa:42:bc:09
normal,radiusd[822]: Login OK: [0c:8b:fd:61:c2:14] from client ap-3 port 4267
error,kernel: wlan0: hardware restart required after station 70:3a:cb:51:2d:88 transmit timeout queue=3
error,kernel: wlan0: driver failed to install pairwise key for station 3c:22:fb:10:24:38 keyidx=0
error,kernel: wlan0: firmware crashed during key install for station d8:bb:c1:07:90:ac crash_id=5525
error,dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) a0:36:9f:71:b5:2e ignored because address pool exhausted pool=5 event_id=train-4829
error,wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED station=a0:36:9f:71:b5:2e bssid=00:25:9c:7a:10:01 reason=34 locally_generated=0 seq=4547
error,wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED station=0c:8b:fd:61:c2:14 bssid=00:25:9c:7a:10:01 reason=34 locally_generated=0 seq=4347
error,hostapd: wlan0: STA 2c:54:cf:92:10:bd RADIUS: server timeout during authentication session=5032
error,kernel: wlan0: tx queue stuck for station 70:3a:cb:51:2d:88; firmware recovery triggered queue=1
normal,dnsmasq-dhcp[411]: DHCPINFORM(wlan0) 10.20.4.178 2c:54:cf:92:10:bd
error,hostapd: wlan0: STA 3c:22:fb:10:24:38 WPA: EAPOL-Key timeout after message 3/4 retry=0 event_id=train-3900
normal,kernel: wlan0: station 6c:5a:b0:2e:91:c8 power save mode disabled after traffic idle interval=86s
error,kernel: wlan0: station 2c:54:cf:92:10:bd link failed due to poor channel conditions signal=-82
normal,kernel: wlan0: station 48:5f:99:c0:21:6a power save mode enabled ps_seq=1711
error,hostapd: wlan0: STA 28:cf:e9:5b:73:a4 IEEE 802.11: association rejected unsupported rates status_code=18 attempt=5701
normal,kernel: wlan0: station a0:36:9f:71:b5:2e low signal warning cleared signal=-67
normal,hostapd: wlan0: STA 70:3a:cb:51:2d:88 single missed ack recovered on retry retry_count=1 event_id=train-3597
error,kernel: wlan0: firmware crashed while processing association response station=48:5f:99:c0:21:6a crash_id=5401
normal,"hostapd: wlan0: STA 48:5f:99:c0:21:6a IEEE 802.11: did not acknowledge keepalive, retry scheduled retry=1 event_id=train-2299"
normal,hostapd: wlan0: STA f4:f5:d8:7a:19:2b WPA: EAPOL-Key message 1/4 sent replay_counter=530
normal,hostapd: wlan0: STA 48:5f:99:c0:21:6a WPA: EAPOL-Key message received replay_counter=631
error,kernel: wlan0: driver failed to install pairwise key for station b8:27:eb:6d:45:f2 keyidx=2
normal,hostapd: wlan0: STA f4:f5:d8:7a:19:2b authorized vlan=2 event_id=train-218
normal,hostapd: wlan0: STA 70:3a:cb:51:2d:88 WPA: EAPOL-Key message 2/4 received replay_counter=651
error,hostapd: wlan0: STA 3c:22:fb:10:24:38 IEEE 802.11: deauthenticated due to local deauth request reason=3 seq=4230
error,hostapd: wlan0: STA 48:5f:99:c0:21:6a IEEE 802.1X: authentication failed session=4969
error,hostapd: wlan0: STA e4:5f:01:aa:3b:77 IEEE 802.11: deauthenticated due to local deauth request reason=3 seq=4525
error,hostapd: wlan0: STA 2c:54:cf:92:10:bd WPA: pairwise key installation failed keyidx=0 event_id=train-3784
error,hostapd: wlan0: STA 2c:54:cf:92:10:bd WPA: pairwise key installation failed keyidx=2 event_id=train-3910
normal,hostapd: wlan0: STA 9c:b6:d0:13:7e:64 WPA: EAPOL-Key message 4/4 received replay_counter=419
error,hostapd: wlan0: STA a0:36:9f:71:b5:2e WPA: group key handshake timeout retry=1 event_id=train-4073
error,hostapd: wlan0: STA a8:6d:aa:42:bc:09 WPA: pairwise key installation failed keyidx=2 event_id=train-4006
normal,hostapd: wlan0: STA a0:36:9f:71:b5:2e RSN: PMKSA cache lookup succeeded cache_id=2603
error,dnsmasq-dhcp[411]: no address available for DHCP request from 2c:54:cf:92:10:bd pool=4 event_id=train-4828
normal,hostapd: wlan0: STA 5c:e9:1e:33:8f:a1 authorized vlan=2 event_id=train-32
normal,hostapd: wlan0: STA 48:5f:99:c0:21:6a WPA: EAPOL-Key message received replay_counter=739
normal,kernel: wlan0: station 48:5f:99:c0:21:6a power save mode enabled ps_seq=1279
error,hostapd: wlan0: STA dc:a6:32:48:91:0f WPA: EAPOL-Key timeout after message 3/4 retry=2 event_id=train-3966
normal,hostapd: wlan0: STA 2c:54:cf:92:10:bd changed power save mode: off ps_seq=1324
error,hostapd: wlan0: STA 6c:5a:b0:2e:91:c8 IEEE 802.1X: EAP timeout waiting for response session=4946
