label,input
normal,2023-11-15T00:24:35.100Z hostapd: wlan0: STA 02:00:00:00:08:34 WPA: pairwise key handshake completed (RSN)
normal,2023-11-14T22:20:40.300Z dnsmasq-dhcp[411]: DHCPACK(wlan0) 10.0.0.42 02:00:00:00:00:75
error,2023-11-14T23:53:55.800Z kernel: wlan0: connection lost from 02:11:22:33:44:55 after beacon timeout
normal,2023-11-15T00:38:25.000Z hostapd: wlan0: STA 02:00:00:00:09:12 IEEE 802.11: authenticated
normal,2023-11-14T22:44:20.100Z hostapd: wlan0: STA 02:00:00:00:01:ed IEEE 802.11: associated (aid 2)
normal,2023-11-15T01:18:35.050Z hostapd: wlan0: STA 02:00:00:00:0b:90 IEEE 802.11: associated (aid 1)
normal,2023-11-14T22:31:10.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:01:1b
normal,2023-11-15T00:22:00.100Z hostapd: wlan0: STA 02:00:00:00:08:09 WPA: pairwise key handshake completed (RSN)
error,"2023-11-14T22:19:20.150Z hostapd: wlan0: STA 02:00:00:00:00:61 IEEE 802.11: authentication rejected, status_code=13"
normal,2023-11-15T00:08:15.000Z hostapd: wlan0: STA 02:00:00:00:07:2c IEEE 802.11: authenticated
normal,2023-11-14T23:17:00.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:03:f9
error,2023-11-14T23:55:55.800Z kernel: wlan0: connection lost from 02:11:22:33:44:55 after beacon timeout
normal,2023-11-14T23:22:45.000Z dnsmasq-dhcp[411]: DHCPOFFER(wlan0) 10.0.0.87 02:00:00:00:04:56
normal,2023-11-15T01:19:40.250Z dnsmasq-dhcp[411]: DHCPREQUEST(wlan0) 10.0.0.42 02:00:00:00:0b:a5
error,2023-11-14T23:13:05.100Z hostapd: wlan0: STA 02:00:00:00:03:ba WPA: PTKSTART: 4-way handshake failed after retransmission
normal,2023-11-15T00:41:00.000Z hostapd: wlan0: STA 02:00:00:00:09:39 IEEE 802.11: authenticated
normal,2023-11-14T23:52:20.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=3 locally_generated=1
error,2023-11-15T00:54:35.550Z dhclient[532]: No working leases in persistent database - sleeping.
error,2023-11-14T23:09:31.000Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=34
normal,2023-11-14T22:50:45.250Z dnsmasq-dhcp[411]: DHCPINFORM(wlan0) 10.0.0.87 02:00:00:00:02:56
normal,2023-11-15T00:26:35.050Z hostapd: wlan0: STA 02:00:00:00:08:50 IEEE 802.11: associated (aid 1)
error,2023-11-14T23:29:55.750Z wpa_supplicant[212]: wlan0: CTRL-EVENT-DISCONNECTED bssid=02:11:22:33:44:55 reason=4 locally_generated=0
normal,2023-11-15T01:09:35.050Z hostapd: wlan0: STA 02:00:00:00:0b:04 IEEE 802.11: associated (aid 1)
normal,2023-11-14T22:36:40.150Z wpa_supplicant[212]: wlan0: CTRL-EVENT-CONNECTED - Connection to 02:11:22:33:44:55 completed
error,2023-11-15T00:06:00.500Z kernel: wlan0: TX status timeout for EAPOL frame
normal,2023-11-14T22:53:15.000Z hostapd: wlan0: STA 02:00:00:00:02:7c IEEE 802.11: authenticated
